Team,Champion_Probability,RunnerUp_Probability,Third_Probability
poland,11.0,7.5,6.6000000000000005
south africa,9.6,4.9,4.3
italy,8.0,7.8,6.2
ghana,7.5,6.2,6.4
canada,6.9,8.0,4.5
morocco,6.3,3.1,4.0
belgium,4.8,4.8,4.7
denmark,4.3999999999999995,3.0,5.0
mexico,3.5000000000000004,4.1000000000000005,3.6999999999999997
south korea,3.3000000000000003,2.4,3.5999999999999996
egypt,3.3000000000000003,3.4000000000000004,3.4000000000000004
united states,3.1,3.4000000000000004,4.2
croatia,3.0,5.0,1.4000000000000001
uruguay,2.4,2.3,2.7
senegal,2.1999999999999997,2.6,4.0
france,2.1999999999999997,2.4,2.1
austria,2.1,3.3000000000000003,5.7
netherlands,2.0,2.9000000000000004,2.8000000000000003
england,1.7000000000000002,3.4000000000000004,2.4
qatar,1.5,2.9000000000000004,1.7000000000000002
panama,1.5,1.2,1.7999999999999998
uzbekistan,1.4000000000000001,2.1,2.4
portugal,1.3,1.7999999999999998,2.5
germany,1.2,1.6,2.1999999999999997
cape verde,1.0999999999999999,1.2,1.4000000000000001
spain,1.0,0.8999999999999999,1.7999999999999998
jordan,0.8999999999999999,1.0999999999999999,0.8
turkey,0.8999999999999999,1.7999999999999998,3.5000000000000004
colombia,0.7000000000000001,1.0999999999999999,0.8
japan,0.6,1.4000000000000001,0.8
argentina,0.5,1.9,1.7000000000000002
brazil,0.1,0.5,0.8999999999999999
